Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
22,81,43,12,16,1,okx,"Exchange, Payment",Only Clearnet,625.9 bitcoin,528,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a
1,1,1,1,1,2,ACINQ,"LSP, Wallet",Only Tor,560.0 bitcoin,2626,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f
449,2548,372,223,45,3,Binance,"Exchange, Payment",Only Tor,557.3 bitcoin,229,03a1f3afd646d77bdaf545cceaf079bab6057eae52c6319b63b5803d0989d6a72f
11,16,5,6,9,4,bfx-lnd1,Exchange,Only Clearnet,450.7 bitcoin,912,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6
12,22,12,9,10,5,bfx-lnd0,"Exchange, Payment",Only Clearnet,354.3 bitcoin,834,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025
4,7,3,3,4,6,Kraken 🐙⚡,"Exchange, Payment",Only Clearnet,272.7 bitcoin,1366,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
10,17,8,7,11,7,LNBϟG [Hub-1],LSP,Only Tor,244.3 bitcoin,830,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5
158,195,139,132,27,8,River Financial 1,"Wallet, Exchange",Only Clearnet,218.1 bitcoin,328,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a
14,25,28,11,15,9,LNBϟG [Hub-2],,Only Tor,215.4 bitcoin,557,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7
19,28,20,15,20,10,LNBϟG [Hub-3],,Only Tor,197.6 bitcoin,471,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490
6,11,11,4,6,11,nicehash-ln1,Payment,Only Clearnet,196.6 bitcoin,1173,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba
2,6,6,2,3,12,WalletOfSatoshi.com,Wallet,Only Clearnet,177.3 bitcoin,1562,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226
469,2009,490,310,49,13,River Financial 2,"Wallet, Exchange",Only Clearnet,171.0 bitcoin,213,03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5
71,189,33,32,36,14,c=,,Clearnet and Tor,100.6 bitcoin,257,027100442c3b79f606f80f322d98d499eefcb060599efc5d4ecb00209c2cb54190
2555,3768,3906,2337,640,15,mainnet.lnfi.com,,Only Tor,82.2 bitcoin,25,03cabeaa1223b83d56954e944e83493d20c6b2c9b45e47b62a899ab9d7d31cb56d
395,491,60,241,245,16,BC.GAME,,Only Clearnet,79.8 bitcoin,55,02c197ffa4c2aa4105dd4c4b7279ba1b9061b22910ebbfa759b0001bed9ee48a16
60,80,81,47,62,17,fixedfloat.com,Exchange,Only Clearnet,79.2 bitcoin,175,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590
46,173,16,16,48,18,cyberdyne.sh,Routing,Only Tor,70.6 bitcoin,214,03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9
40,107,15,18,43,19,1sats.com⚡️lsp.flashsats.xyz,LSP,Only Clearnet,70.3 bitcoin,242,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78
123,74,198,172,360,20,LOOP,,Only Clearnet,64.5 bitcoin,42,021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d
57,204,56,24,59,21,Strike,"Wallet, Exchange, Payment",Only Clearnet,61.6 bitcoin,179,03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd
16,21,18,17,18,22,TangoBolt,,Only Clearnet,61.4 bitcoin,503,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877
