Pleb_Rank,Betweenness_Rank,Eigenvector_Rank,PageRank,Weighted_Degree_Rank,Channels_Rank,Capacity_Rank,alias,Node_Type,Total_Capacity,Num_Channels,Public_Key
1,2,1,2,1,1,2,ACINQ,"LSP, Wallet",663.7 bitcoin,2488.0,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f
2,6,2,4,2,3,12,WalletOfSatoshi.com,Wallet,178.4 bitcoin,1487.0,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226
3,10,3,6,4,4,6,Kraken 🐙⚡,"Exchange, Payment",277.5 bitcoin,1302.0,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
4,8,5,8,6,5,11,nicehash-ln1,Payment,178.5 bitcoin,1104.0,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba
5,26,6,12,9,9,4,bfx-lnd1,Exchange,484.1 bitcoin,913.0,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6
6,7,10,7,7,7,28,Boltz,Exchange,59.4 bitcoin,1007.0,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2
7,16,9,14,11,12,8,LNBϟG [Hub-1],LSP,239.1 bitcoin,707.0,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5
8,4,4,9,5,6,47,LQwD-Canada,LSP,38.3 bitcoin,1083.0,0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1
9,34,7,13,10,10,5,bfx-lnd0,"Exchange, Payment",339.9 bitcoin,790.0,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025
10,15,19,17,18,15,23,TangoBolt,,63.4 bitcoin,491.0,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877
11,42,12,20,16,16,9,LNBϟG [Hub-2],,206.5 bitcoin,486.0,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7
12,23,8,24,15,20,35,Sunny Sarah ☀️,Routing,50.0 bitcoin,420.0,03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a
13,85,11,21,17,13,1,okx,"Exchange, Payment",724.0 bitcoin,606.0,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a
14,56,17,27,20,19,10,LNBϟG [Hub-3],,190.1 bitcoin,423.0,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490
15,36,39,30,24,26,24,LNBϟG [Edge-1],LSP,63.3 bitcoin,331.0,0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0
16,40,32,28,21,23,43,OpenNode.com,"LSP, Payment",42.5 bitcoin,357.0,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e
17,33,51,18,19,21,51,Bitrefill,"LSP, Payment",35.6 bitcoin,405.0,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac
18,18,83,16,14,17,61,Bitrefill Routing,"LSP, Payment",28.7 bitcoin,453.0,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f
19,21,41,22,22,24,84,DiamondHands💎🙌,LSP,18.0 bitcoin,345.0,035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30
20,53,53,36,34,32,29,LNBϟG [Edge-3],LSP,54.9 bitcoin,250.0,03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed
21,11,112,11,13,14,83,tippin.me,,18.4 bitcoin,516.0,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda
22,61,34,41,35,43,39,kappa,,45.4 bitcoin,230.0,0324ba2392e25bff76abd0b1f7e4b53b5f82aa53fddc3419b051b6c801db9e2247
23,89,30,35,25,29,46,lnmarkets.com,"Wallet, Exchange",38.6 bitcoin,272.0,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c
24,49,62,43,46,40,27,LNBϟG [Edge-2],,60.4 bitcoin,231.0,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251
25,87,35,45,33,35,38,adam.masterofpearls.net,,46.8 bitcoin,245.0,029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad
26,58,78,40,42,38,32,LNBϟG [Edge-4],LSP,51.8 bitcoin,238.0,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1
27,48,103,34,37,36,45,OpenNode.com,"LSP, Payment",39.6 bitcoin,244.0,028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4
28,1,161,1,3,2,147,1ML.com node ALPHA,,8.8 bitcoin,1776.0,0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266
29,60,69,49,49,45,59,The Bitcoin Company,Payment,30.6 bitcoin,214.0,026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331
30,90,40,46,36,41,78,⚡G-Spot-21_69_420⚡,,19.9 bitcoin,231.0,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1
31,55,79,37,41,42,80,Moon (paywithmoon.com),Payment,19.5 bitcoin,231.0,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5
32,160,18,54,38,44,21,1sats.com⚡️lsp.flashsats.xyz,LSP,65.7 bitcoin,225.0,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78
33,47,52,38,39,37,124,CoinPayments,,10.8 bitcoin,241.0,03afa7a8196dbca763ee6f9a34b634a7adc03f154e5d6979fe654db5606b5fb2b1
34,19,85,25,30,28,157,BitKassa LN34961 [LND],,8.5 bitcoin,290.0,0231eccc6510eb2e1c97c8a190d6ea096784aa7c358355442055aac8b20654f932
35,102,21,56,43,48,79,Kazumyon,,19.7 bitcoin,204.0,039cdd937f8d83fb2f78c8d7ddc92ae28c9dbb5c4827181cfc80df60dee1b7bf19
36,174,20,47,32,33,44,Azteco,Payment,41.0 bitcoin,249.0,02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02
37,3,198,3,8,8,144,CoinGate,Payment,9.1 bitcoin,1001.0,0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3
38,76,31,64,59,62,81,ThunderHorse2,,19.2 bitcoin,168.0,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a
39,261,14,42,28,30,26,allNice | torq.co,LSP,61.1 bitcoin,271.0,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3
40,109,68,60,56,51,62,031015a7839468a3c,"LSP, Wallet",28.2 bitcoin,188.0,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0
41,38,49,84,86,87,68,YTMND,,24.3 bitcoin,133.0,03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330
42,120,48,55,44,47,107,WCC-BOUNCER,,12.8 bitcoin,206.0,02f4c77dcf12255ccf705c18b8d6b95e4f884910bf61e8aa21242607193a79da1b
43,279,22,61,47,18,7,c=,,256.2 bitcoin,425.0,027100442c3b79f606f80f322d98d499eefcb060599efc5d4ecb00209c2cb54190
44,62,91,53,57,58,114,Voltage,,11.9 bitcoin,176.0,031f2669adab71548fad4432277a0d90233e3bc07ac29cfb0b3e01bd3fb26cb9fa
45,35,160,33,51,46,112,Blocktank,LSP,12.2 bitcoin,207.0,0296b2db342fcf87ea94d981757fdf4d3e545bd5cef4919f58b5d38dfdd73bf5c9
46,32,46,65,53,55,188,MUTATRUM,,6.6 bitcoin,182.0,038bcc6471941c7d6c14a8ce5b7159d8f73a3a0bb9a93e8896bcb892e14552658a
47,292,16,48,31,39,20,Strike,"Wallet, Exchange, Payment",69.9 bitcoin,235.0,03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd
48,108,43,72,62,67,104,Babylon-4a,,13.5 bitcoin,155.0,0340cfadaa3324e0dd176a9969be050114278f93260e1b6333bd2a2a2ea03c64a3
49,70,96,59,65,56,119,ln-1.anycoin.cz,,11.4 bitcoin,180.0,02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5
50,5,247,5,12,11,186,gameb_1,,6.7 bitcoin,723.0,023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f
51,126,24,74,58,63,129,Imamura,,10.3 bitcoin,163.0,0284aa8233ee3c0482ecf87c60094cacd15a17feb0bfa59f1898fe91478020eb76
52,14,216,19,29,27,173,coincharge,,7.4 bitcoin,313.0,0318ac9faa9629e7da08819bc8fe0dd2ae3044d69b1b2283a63479acffeb968483
53,218,27,62,48,52,73,MindlinerTre,,21.4 bitcoin,186.0,02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73
54,322,13,44,26,31,54,Garlic🧄,,33.5 bitcoin,252.0,033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9
55,12,226,15,23,25,189,Voltage-C2,,6.5 bitcoin,344.0,02cfdc6b60e5931d174a342b20b50d6a2a17c6e4ef8e077ea54069a3541ad50eb0
56,181,47,75,61,66,77,The Captain [Coincept.com],"LSP, Routing",20.1 bitcoin,157.0,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df
57,81,87,108,111,86,50,ed528ad49bedd1f7a638a,,35.8 bitcoin,133.0,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924
58,64,92,70,70,72,159,DeutscheBank|CLN,,8.5 bitcoin,148.0,03b9aacb265dc5ebde04b91b28f7c8bb6ba0af146e5f37426915742daf8f195a09
59,154,108,80,73,76,87,Boltz|CLN,Exchange,17.0 bitcoin,144.0,02d96eadea3d780104449aca5c93461ce67c1564e2e1d73225fa67dd3b997a6018
60,167,55,81,64,70,146,wobloz,,9.0 bitcoin,152.0,025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588
61,50,110,78,89,74,184,LN-Fukaya Japan,,6.7 bitcoin,148.0,020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c
62,25,276,26,45,34,191,ln.bitstamp.net [Bitstamp],,6.4 bitcoin,249.0,02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c
63,121,72,88,81,89,154,LNServerFocus,,8.6 bitcoin,132.0,037f6c805dfef7a0f01cca0abcea96352a32aa478c63c974bc2e726cad8d026a89
64,182,58,85,74,80,137,⚡️MasterYoda⚡,,9.7 bitcoin,141.0,033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809
65,276,64,101,85,71,18,fixedfloat.com,Exchange,73.0 bitcoin,148.0,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590
66,303,28,73,54,61,101,xmrk reloaded,,13.8 bitcoin,169.0,02cad4ec4c8b0dc2c7035a1898f979c8c7169bdff74e01ad6ca7aea59d85c59e8b
67,179,101,112,114,115,19,Megalithic.me,"LSP, Routing",71.7 bitcoin,101.0,0322d0e43b3d92d30ed187f4e101a9a9605c3ee5fc9721e6dac3ce3d7732fbb13e
68,364,25,66,50,54,90,i'llTryAnythingOnce,,16.2 bitcoin,185.0,020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217
69,157,95,117,117,99,66,CryptoChill,,24.8 bitcoin,122.0,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7
70,196,89,129,121,100,36,e960fd8385a1603003727,,48.4 bitcoin,119.0,039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3
71,320,59,79,60,65,97,MerchantConnectHUB,,14.8 bitcoin,159.0,023e09c43b215bd3dbf483bcb409da3322ea5ea3b046f74698b89ee9ea785dd30a
72,111,100,95,90,97,190,Lucky.Dog,,6.5 bitcoin,124.0,0391e2edea5191627a25ecbd327c0dc2a95c880a5b0e73af38dc4a5a8964263b3f
73,134,117,102,98,104,134,LightningPlaces.com,,10.0 bitcoin,116.0,033d38e07e2541628214c8184cf6c562311059872363e9f538b2f45434418b5bc5
