Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
1,1,1,1,1,1,ACINQ,['LSP' 'Wallet'],Only Tor,433.2 bitcoin,1629,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f
18,65,49,17,16,2,okx,['Exchange' 'Payment'],Only Clearnet,425.2 bitcoin,387,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a
386,1730,280,200,70,3,Binance,['Exchange' 'Payment'],Only Tor,329.4 bitcoin,125,03a1f3afd646d77bdaf545cceaf079bab6057eae52c6319b63b5803d0989d6a72f
10,21,12,9,9,4,bfx-lnd1,['Exchange'],Only Clearnet,324.4 bitcoin,556,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6
4,4,4,2,2,5,Kraken 🐙⚡,['Exchange' 'Payment'],Only Clearnet,234.1 bitcoin,1236,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
7,12,8,6,7,6,LNBϟG [Hub-1],['LSP'],Only Tor,233.3 bitcoin,688,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5
15,26,19,11,11,7,bfx-lnd0,['Exchange' 'Payment'],Only Clearnet,228.4 bitcoin,468,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025
17,14,7,12,14,8,LNBϟG [Hub-3],[],Only Tor,210.5 bitcoin,402,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490
3,6,6,3,4,9,WalletOfSatoshi.com,['Wallet'],Only Clearnet,202.8 bitcoin,1150,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226
13,18,33,10,12,10,LNBϟG [Hub-2],[],Only Tor,197.4 bitcoin,454,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7
6,9,10,5,5,11,nicehash-ln1,['Payment'],Only Clearnet,187.7 bitcoin,856,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba
416,1128,304,275,56,12,River Financial 2,['Wallet' 'Exchange'],Only Clearnet,97.1 bitcoin,147,03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5
2626,4288,2897,1893,547,13,mainnet.nostrassets.com,[],Only Tor,86.2 bitcoin,24,03cabeaa1223b83d56954e944e83493d20c6b2c9b45e47b62a899ab9d7d31cb56d
39,35,41,31,41,14,fixedfloat.com,['Exchange'],Only Clearnet,80.6 bitcoin,180,037f990e61acee8a7697966afd29dd88f3b1f8a7b14d625c4f8742bd952003a590
135,123,60,108,43,15,River Financial 1,['Wallet' 'Exchange'],Only Clearnet,78.9 bitcoin,173,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a
416,308,80,249,267,16,BC.GAME,[],Only Clearnet,77.5 bitcoin,44,02c197ffa4c2aa4105dd4c4b7279ba1b9061b22910ebbfa759b0001bed9ee48a16
26,50,11,15,22,17,1sats.com⚡️lsp.flashsats.xyz,['LSP'],Only Clearnet,71.6 bitcoin,240,02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78
95,46,104,148,277,18,LOOP,[],Only Clearnet,69.1 bitcoin,43,021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d
31,165,27,13,33,19,cyberdyne.sh,['Routing'],Only Tor,65.4 bitcoin,198,03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9
67,148,100,33,66,20,Strike,['Wallet' 'Exchange' 'Payment'],Only Clearnet,58.8 bitcoin,132,03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd
5,7,5,8,6,21,Boltz,['Exchange'],Only Tor,56.4 bitcoin,848,026165850492521f4ac8abd9bd8088123446d126f648ca35e60f88177dc149ceb2
132,463,73,68,122,22,yalls.org clearnet-yalls,['Routing'],Only Clearnet,54.9 bitcoin,83,0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447
19,16,24,28,23,23,LNBϟG [Edge-1],['LSP'],Only Tor,54.6 bitcoin,234,0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0
132,415,221,84,120,24,OneKey,['Wallet' 'Exchange'],Only Clearnet,50.6 bitcoin,84,0378a5312ca36773971df43f833b571d024fd7d5d216fbdf7e241b710714ef1be1
34,30,43,53,34,25,LNBϟG [Edge-2],[],Only Tor,49.9 bitcoin,195,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251
131,664,493,95,113,26,AFRICA🌍,[],Only Tor,48.8 bitcoin,87,03f5dcf253ca5ab4a8a0ad27bc5d8787ca920610902425b060311530cb511e9545
37,38,57,54,35,27,LNBϟG [Edge-3],['LSP'],Only Tor,48.3 bitcoin,194,03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed
21,60,17,16,20,28,Azteco,['Payment'],Only Tor,48.2 bitcoin,271,02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02
30,69,15,19,30,29,allNice | torq.co,['LSP'],Only Tor,47.7 bitcoin,208,0326e692c455dd554c709bbb470b0ca7e0bb04152f777d1445fd0bf3709a2833a3
29,42,265,61,31,30,LNBϟG [Edge-4],['LSP'],Only Tor,47.1 bitcoin,206,039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1
38,64,132,46,26,31,The Bitcoin Company,['Payment'],Only Tor,46.5 bitcoin,223,026ec3e3438308519a75ca4496822a6c1e229174fbcaadeeb174704c377112c331
87,104,69,50,93,32,c-otto.de,['Routing'],Only Tor,44.3 bitcoin,106,027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71
24,59,343,26,21,33,adam.masterofpearls.net,[],Only Tor,43.9 bitcoin,243,029efe15ef5f0fcc2fdd6b910405e78056b28c9b64e1feff5f13b8dce307e67cad
14,25,3,7,17,34,Sunny Sarah ☀️,['Routing'],Only Clearnet,42.8 bitcoin,375,03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a
23,31,29,25,24,35,TangoBolt,[],Only Clearnet,41.5 bitcoin,233,0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877
59,89,45,38,54,36,kappa,[],Only Tor,41.0 bitcoin,149,0324ba2392e25bff76abd0b1f7e4b53b5f82aa53fddc3419b051b6c801db9e2247
47,97,53,36,48,37,Megalithic.me,['LSP' 'Routing'],Only Tor,38.4 bitcoin,161,0322d0e43b3d92d30ed187f4e101a9a9605c3ee5fc9721e6dac3ce3d7732fbb13e
2,2,2,4,3,38,LQwD-Canada,['LSP'],Only Tor,38.2 bitcoin,1218,0364913d18a19c671bb36dd04d6ad5be0fe8f2894314c36a9db3f03c2d414907e1
63,138,44,30,55,39,c=,[],Clearnet and Tor,35.1 bitcoin,148,027100442c3b79f606f80f322d98d499eefcb060599efc5d4ecb00209c2cb54190
180,578,367,149,160,40,cwallet.com,['Wallet' 'Exchange'],Only Clearnet,34.7 bitcoin,69,0371ccb71e3838984f6903b40b76581c4fceda54e22cb9c6a7d20681c036de0571
288,735,180,191,260,41,Alby 🐝 routing ⚡ 1,['Payment'],Only Clearnet,34.4 bitcoin,45,03b65c19de2da9d35895b37e6fa263cefbf8d184e6b61c0713747ebf12409d219f
16,24,46,29,15,42,Bitrefill,['LSP' 'Payment'],Only Clearnet,34.4 bitcoin,394,03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac
93,32,47,155,174,43,yalls.org yalls-tor,['Routing'],Only Tor,31.1 bitcoin,64,03d06758583bb5154774a6eb221b1276c9e82d65bbaceca806d90e20c108f4b1c7
174,587,78,77,152,44,paxful,[],Only Tor,30.8 bitcoin,71,028b10be90ddfb4ef158c252163e4f340c8a093beee20427d39a0986abac58a55e
9,3,9,40,53,45,OpenNode.com,['LSP' 'Payment'],Only Clearnet,30.6 bitcoin,153,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e
79,162,79,47,68,46,lnd2.blink.sv,['Wallet' 'Payment'],Only Tor,30.2 bitcoin,128,02fcc5bfc48e83f06c04483a2985e1c390cb0f35058baa875ad2053858b8e80dbd
26,85,20,14,27,47,Garlic🧄,[],Only Tor,30.0 bitcoin,221,033b63e4a9931dc151037acbce12f4f8968c86f5655cf102bbfa85a26bd4adc6d9
319,925,295,240,95,48,lndus1.zaphq.io,[],Only Clearnet,29.7 bitcoin,102,03b428ba4b48b524f1fa929203ddc2f0971c2077c2b89bb5b22fd83ed82ac2f7e1
174,335,412,133,182,49,BitcoinVN 22,['Exchange'],Only Tor,29.2 bitcoin,62,026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f
55,67,99,116,43,50,OpenNode.com,['LSP' 'Payment'],Only Clearnet,26.5 bitcoin,173,028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4
34,57,70,34,42,51,lnmarkets.com,['Wallet' 'Exchange'],Only Tor,25.1 bitcoin,175,03271338633d2d37b285dae4df40b413d8c6c791fbee7797bc5dc70812196d7d5c
115,212,75,43,117,52,Peeky,[],Only Tor,24.9 bitcoin,86,0250baf7a558091eb9c93f43d595b795db61bd2b55ca016d8682fd310cb1b81e6c
49,101,14,20,57,53,SYZYGY,[],Only Tor,23.8 bitcoin,145,03d83d26813669d8665d6a5017ecd18d176db0893f00f39e0a38493a1b6e3bbcd7
91,102,67,78,74,54,CryptoChill,[],Only Clearnet,23.6 bitcoin,120,03df3f0a2fd6bea5429a596461ce784c922b2981ada1af89cfefcd9ccfb16c16a7
56,90,18,23,59,55,Zap-O-Matic,[],Only Tor,23.5 bitcoin,141,026d0169e8c220d8e789de1e7543f84b9041bbb3e819ab14b9824d37caa94f1eb2
32,84,21,21,36,56,MindlinerTre,[],Only Clearnet,23.2 bitcoin,192,02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73
1754,1754,2010,1102,937,57,bitz23,[],Only Tor,22.9 bitcoin,15,023a89bcaf5d6635434af2665a7ff77cece6bb462b48ab1ee96b522505fdd44d64
20,43,108,22,19,58,DiamondHands💎🙌,['LSP'],Only Clearnet,22.1 bitcoin,314,035b1ff29e8db1ba8f2a4f4f95db239b54069cb949b8cde329418e2a83da4f1b30
225,177,179,262,134,59,lndus0.zaphq.io,[],Only Clearnet,21.6 bitcoin,79,027cd974e47086291bb8a5b0160a889c738f2712a703b8ea939985fd16f3aae67e
45,34,36,49,52,60,031015a7839468a3c,['LSP' 'Wallet'],Only Clearnet,20.8 bitcoin,154,031015a7839468a3c266d662d5bb21ea4cea24226936e2864a7ca4f2c3939836e0
1223,2716,1772,695,704,61,Snow,[],Only Tor,20.8 bitcoin,19,02b7291fcf57fd64cb9610beedf37eac46212762608813ccf8090520701b94ae62
110,358,253,52,113,62,The Wall,[],Only Clearnet,20.7 bitcoin,87,0203e5b16ebe87b089f22e18752f1f7a66a1bdf77879df8d1c9e8d912dbfb9beb4
371,1109,557,438,245,63,okcoin,[],Only Clearnet,20.4 bitcoin,48,036b53093df5a932deac828cca6d663472dbc88322b05eec1d42b26ab9b16caa1c
74,112,16,27,75,64,Orange Sunrise,[],Only Tor,19.8 bitcoin,119,037943defcf3068fc5b8a2b821cdd2c4c1b1faa39d6a971b3fd984b9dd291a4817
180,241,215,119,187,65,LNChamp,[],Only Tor,19.1 bitcoin,61,0261239197442bda65c9933359bbcba72e89f3e77ca87edd7be2e4bf7ba9218117
36,72,463,60,31,66,⚡G-Spot-21_69_420⚡,[],Only Tor,18.4 bitcoin,206,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1
25,28,48,44,25,67,Moon (paywithmoon.com),['Payment'],Only Clearnet,17.8 bitcoin,225,025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5
59,167,28,24,62,68,02dfe525d9c5b4bb52a5,[],Only Clearnet,17.7 bitcoin,134,02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8
657,1158,505,265,667,69,Escher,[],Only Clearnet,17.7 bitcoin,20,02b515c74f334dee09821bee299fcbd9668182730c5719b25a8f262b28893198b0
215,574,58,127,219,70,conxole.io,[],Only Tor,17.6 bitcoin,53,023b05691b633cb1190453c329795f1b48ecd0f61f9e29c00fb9415022ac6d7a6f
34,98,22,18,39,71,Kazumyon,[],Only Tor,17.4 bitcoin,187,039cdd937f8d83fb2f78c8d7ddc92ae28c9dbb5c4827181cfc80df60dee1b7bf19
12,11,42,69,18,72,Bitrefill Routing,['LSP' 'Payment'],Only Clearnet,17.2 bitcoin,370,030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f
108,108,31,88,77,73,ed528ad49bedd1f7a638a,[],Only Clearnet,17.2 bitcoin,118,02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924
110,103,26,86,97,74,connect-to-this-node-please,[],Only Tor,17.1 bitcoin,99,026c2595bddf44ca1eadb65ad26942b325616690d104442f8560a7faaf67c4c323
95,120,55,80,71,75,e960fd8385a1603003727,[],Only Clearnet,16.9 bitcoin,124,039174f846626c6053ba80f5443d0db33da384f1dde135bf7080ba1eec465019c3
115,215,38,63,122,76,The Continental,[],Only Tor,16.9 bitcoin,83,03c157946cc1cd376b929e36006e645fae490b1b1d4156b40db804e01b4bda48cd
65,173,274,35,58,77,ThunderHorse2,[],Only Clearnet,16.8 bitcoin,143,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a
538,1178,118,229,416,78,PaidlyInteractive⚡,[],Clearnet and Tor,16.6 bitcoin,31,02ba0c09d94698745ebbda922c6d19d54437a89aab333f1539d8cfafb819173feb
140,109,85,106,140,79,90511edf48b448df8c97c5,[],Only Clearnet,16.5 bitcoin,76,0289753f4559770003baec773453f8d1b2dfae3256546891e4cfef3a0bdbaa4f30
568,1412,1248,398,376,80,Black Star ✦,[],Only Tor,16.1 bitcoin,34,02cc5c798fdb2361d529827ee0baf511936c231989d501de1f4e1c82a9baaaf36a
135,510,109,70,140,81,Tatooine,[],Only Tor,15.6 bitcoin,76,03011e480a671ac71dbc3fc3e8fe0db32bb9a10cc4d824663e09557d446ef80679
22,37,872,109,28,82,tippin.me,[],Only Clearnet,15.4 bitcoin,218,03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda
59,56,284,81,62,83,The Captain [Coincept.com],['LSP' 'Routing'],Only Tor,15.0 bitcoin,134,0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df
140,87,74,122,202,84,SilentBob,[],Only Clearnet,14.6 bitcoin,57,02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844
174,281,278,164,171,85,CONFIRMO.net,[],Only Clearnet,13.8 bitcoin,65,02ff30e83896d453cfc89ff4dd06d23d793b7246f154c210324adc1d42c849ce74
67,200,65,39,73,86,Nodelou🐈,[],Only Tor,13.6 bitcoin,121,03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d
160,469,384,112,174,87,borsche(.Y.)cln0,['Routing'],Only Tor,13.6 bitcoin,64,02fe6a27ddcb2dd9fa8479fe1d52549b5932079a493b51f1409fa2c5878f1bc07c
130,258,165,103,140,88,YTMND,[],Only Tor,13.5 bitcoin,76,03b006c37dfb8681e5db9f513386d06c9d18bd514fae5d79a7ed2d5991c7d57330
