Degree_Centrality_Rank,Betweenness_Centrality_Rank,Closeness_Centrality_Rank,Eigenvector_Centrality_Rank,Active_channel_cnt_Rank,Capacity_Rank,alias,Node_Type,Clearnet_Tor_Status,formatted_capacity,Active_channel_cnt,pub_key
141,455,80,35,8,1,Binance,"Exchange, Payment",Only Tor,210.7 bitcoin,98,03a1f3afd646d77bdaf545cceaf079bab6057eae52c6319b63b5803d0989d6a72f
36,73,42,15,12,2,okx,"Exchange, Payment",Only Clearnet,145.3 bitcoin,90,0294ac3e099def03c12a37e30fe5364b1223fd60069869142ef96580c8439c2e0a
80,101,23,26,4,3,River Financial 1,"Wallet, Exchange",Only Clearnet,105.1 bitcoin,178,03037dc08e9ac63b82581f79b662a4d0ceca8a8ca162b1af3551595b8f2d97b70a
1,1,1,1,1,4,ACINQ,"LSP, Wallet",Only Tor,80.7 bitcoin,240,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f
17,19,7,11,7,5,bfx-lnd1,Exchange,Only Clearnet,53.8 bitcoin,104,03cde60a6323f7122d5178255766e38114b4722ede08f7c9e0c5df9b912cc201d6
152,312,88,58,15,6,River Financial 2,"Wallet, Exchange",Only Clearnet,49.3 bitcoin,80,03aab7e9327716ee946b8fbfae039b0db85356549e72c5cca113ea67893d0821e5
26,33,16,9,16,7,bfx-lnd0,"Exchange, Payment",Only Clearnet,42.9 bitcoin,78,033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025
12,27,67,13,9,8,cyberdyne.sh,Routing,Only Tor,36.7 bitcoin,97,03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9
5,13,21,4,2,9,Kraken 🐙⚡,"Exchange, Payment",Only Clearnet,33.8 bitcoin,209,02f1a8c87607f415c8f22c00593002775941dea48869ce23096af27b0cfdcc0b69
4,9,18,3,3,10,WalletOfSatoshi.com,Wallet,Only Clearnet,32.3 bitcoin,202,035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226
9,16,57,21,5,11,LNBϟG [Hub-1],LSP,Only Tor,29.1 bitcoin,145,034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5
25,14,6,19,176,12,LOOP,,Only Clearnet,27.7 bitcoin,13,021c97a90a411ff2b10dc2a8e32de2f29d2fa49d41bfbb52bd416e460db0747d0d
39,74,27,16,23,13,Strike,"Wallet, Exchange, Payment",Only Clearnet,23.4 bitcoin,63,03c8e5f583585cac1de2b7503a6ccd3c12ba477cfd139cd4905be504c2f48e86bd
19,23,74,104,22,14,LNBϟG [Hub-2],,Only Tor,20.0 bitcoin,69,033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7
28,55,224,45,24,15,Megalithic.me,"LSP, Routing",Only Tor,17.8 bitcoin,61,0322d0e43b3d92d30ed187f4e101a9a9605c3ee5fc9721e6dac3ce3d7732fbb13e
