Pleb_Rank,Channels_Rank,Capacity_Rank,alias/pubkey
1,1,2,ACINQ
2,3,12,WalletOfSatoshi.com
3,4,6,Kraken 🐙⚡
4,5,11,nicehash-ln1
5,8,23,Boltz
6,9,4,bfx-lnd1
7,12,7,LNBϟG [Hub-1]
8,6,44,LQwD-Canada
9,10,5,bfx-lnd0
10,16,22,TangoBolt
11,15,9,LNBϟG [Hub-2]
12,20,32,Sunny Sarah ☀️
13,13,1,okx
14,19,46,Bitrefill
15,22,10,LNBϟG [Hub-3]
16,26,36,OpenNode.com
17,27,26,LNBϟG [Edge-1]
18,25,71,DiamondHands💎🙌
19,18,61,Bitrefill Routing
20,14,83,tippin.me
21,39,28,LNBϟG [Edge-3]
22,37,29,adam.masterofpearls.net
23,33,49,lnmarkets.com
24,43,25,LNBϟG [Edge-2]
25,32,48,OpenNode.com
26,31,37,Azteco
27,36,76,Moon (paywithmoon.com)
28,41,31,LNBϟG [Edge-4]
29,50,45,kappa
30,2,154,1ML.com node ALPHA
31,44,55,The Bitcoin Company
32,40,78,⚡G-Spot-21_69_420⚡
33,38,120,CoinPayments
34,29,149,BitKassa LN34961 [LND]
35,42,20,1sats.com⚡️lsp.flashsats.xyz
36,60,81,ThunderHorse2
37,51,60,031015a7839468a3c
38,45,21,Strike
39,91,66,YTMND
40,48,79,Kazumyon
41,11,187,gameb_1
42,47,106,WCC-BOUNCER
43,56,111,Voltage
44,49,113,Blocktank
45,30,24,allNice | torq.co
46,57,193,MUTATRUM
47,69,42,ed528ad49bedd1f7a638a
48,74,102,Babylon-4a
49,23,8,c=
50,28,173,coincharge
51,21,198,Voltage-C2
52,66,80,The Captain [Coincept.com]
53,59,127,ln-1.anycoin.cz
54,52,69,MindlinerTre
55,73,145,DeutscheBank|CLN
56,35,50,Garlic🧄
57,63,162,LN-Fukaya Japan
58,7,100,CoinGate
59,72,51,e960fd8385a1603003727
60,102,67,The Continental
61,71,86,BCash_Is_Trash
62,34,191,ln.bitstamp.net [Bitstamp]
63,77,167,Einundzwanzig
64,89,82,Orange Sunrise
65,55,90,i'llTryAnythingOnce
66,108,122,LightningPlaces.com
67,85,94,Boltz|CLN
68,106,68,CryptoChill
69,97,164,LNServerFocus
70,90,96,Nodelou🐈
71,86,137,⚡️MasterYoda⚡
72,68,18,fixedfloat.com
73,96,190,Lucky.Dog
74,75,143,NikolaTesla
75,88,159,wobloz
76,78,238,⚡️ STACKER.NEWS ⚡️
77,79,185,033769 💚 💚 💚
78,107,209,🎃RouteMASTER🚀
79,54,316,Lightning.Store
